šč	щ	#a
jeśli	если	
tt'ś	тч	
t'ś	ч	
ba	ба	
va	ва	
wa	ва	
ga	га	
da	да	
ǯa	джа	
ʒ́a	дза	
ža	жа	
za	за	
ja	я	
ka	ка	
la	ла	
ma	ма	
na	на	
pa	па	
ra	ра	
sa	са	
ta	та	
ča	тша	
ća	ча	
ša	ша	
bi	би	#i
vi	ви	
wi	ви	
gi	ги	
di	ді	
ǯi	джи	
ʒ́i	дзи	
ži	жи	
zi	зі	
ji	йи	
ki	ки	
li	лі	
mi	ми	
ni	ні	
pi	пи	
ri	ри	
si	сі	
ti	ті	
či	тши	
ći	чи	
ši	ши	
bo	бо	o
vo	во	
wo	во	
go	го	
do	до	
ǯo	джо	
ʒ́o	дзо	
žo	жо	
zo	зо	
jo	ё	
ko	ко	
lo	ло	
mo	мо	
no	но	
po	по	
ro	ро	
so	со	
to	то	
čo	тшо	
ćo	чо	
šo	шо	
bö	бӧ	ö
vö	вӧ	
wö	вӧ	
gö	гӧ	
dö	дӧ	
ǯö	джӧ	
ʒ́ö	дзӧ	
žö	жӧ	
zö	зӧ	
jö	йӧ	
kö	кӧ	
lö	лӧ	
mö	мӧ	
nö	нӧ	
pö	пӧ	
rö	рӧ	
sö	сӧ	
tö	тӧ	
čö	тшӧ	
ćö	чӧ	
šö	шӧ	
bu	бу	u
vu	ву	
wu	ву	
gu	гу	
du	ду	
ǯu	джу	
ʒ́u	дзу	
žu	жу	
zu	зу	
ju	ю	
ku	ку	
lu	лу	
mu	му	
nu	ну	
pu	пу	
ru	ру	
su	су	
tu	ту	
ču	тшу	
ću	чу	
šu	шу	
by	бы	u
vy	вы	
wy	вы	
gy	гы	
dy	ды	
ǯy	джы	
ʒ́y	дзы	
žy	жы	
zy	зы	
jy	йы	
ky	кы	
ly	лы	
my	мы	
ny	ны	
py	пы	
ry	ры	
sy	сы	
ty	ты	
čy	тшы	
ćy	чы	
šy	шы	
be	бе	e
ve	ве	
we	ве	
ge	ге	
de	дэ	
ǯe	дже	
ʒ́e	дзе	
že	же	
ze	зэ	
je	е	
ke	ке	
le	лэ	
me	ме	
ne	нэ	
pe	пе	
re	ре	
se	сэ	
te	тэ	
če	тше	
će	че	
še	ше	
d'a	дя	# Soft consonants with different wovels, a
źa	зя	
l'a	ля	
ńa	ня	
śa	ся	
t'a	тя	
d'i	ди	#i
źi	зи	
l'i	ли	
ńi	ни	
śi	си	
t'i	ти	
d'o	дё	#o
źo	зё	
l'o	лё	
ńo	нё	
śo	сё	
t'o	тё	
d'ö	дьӧ	#ö
źö	зьӧ	
l'ö	льӧ	
ńö	ньӧ	
śö	сьӧ	
t'ö	тьӧ	
d'ø	дьӧ	#ö
źø	зьӧ	
l'ø	льӧ	
ńø	ньӧ	
śø	сьӧ	
t'ø	тьӧ	
d'u	дю	#u
źu	зю	
l'u	лю	
ńu	ню	
śu	сю	
t'u	тю	
d'y	дьы	#y
źy	зьы	
l'y	льы	
ńy	ньы	
śy	сьы	
t'y	тьы	
d'ɨ	дьы	#y
źɨ	зьы	
l'ɨ	льы	
ńɨ	ньы	
śɨ	сьы	
t'ɨ	тьы	
d'e	де	#e
źe	зе	
l'e	ле	
ńe	не	
śe	се	
t'e	те	
d'ɛ	де	#ɛ
źɛ	зе	
l'ɛ	ле	
ńɛ	не	
śɛ	се	
t'ɛ	те	
l'l'	лл	# Doubles, or soft doubles, these could be easier to fix later in the script maybe as ньнь > нн
ńń	нн	
t't'	тт	
źź	зз	
śś	сс	
d'd'	дд	
l'l'	лл	
ʒ́ʒ́	ддз	
ǯǯ	ддж	
ćja	чъя	# Hard signs
kja	къя	
gja	гъя	
rja	ръя	
vja	въя	
wja	въя	
pja	пъя	
bja	бъя	
tja	тъя	
dja	дъя	
lja	лъя	
ʒ́ja	дзъя	
ǯja	джъя	
šja	шъя	
žja	жъя	
nja	нъя	
mja	мъя	
sja	съя	
zja	зъя
ćju	чъю	
kju	къю	
gju	гъю	
rju	ръю	
vju	въю	
wju	въю	
pju	пъю	
bju	бъю	
tju	тъю	
dju	дъю	
lju	лъю	
ʒ́ju	дзъю	
ǯju	джъю	
šju	шъю	
žju	жъю	
nju	нъю	
mju	мъю	
sju	съю	
zju	зъю
ćjе	чъe	
kje	къе	
gje	гъе	
rje	ръе	
vje	въе	
wje	въе	
pje	пъе	
bje	бъе	
tje	тъе	
dje	дъе	
lje	лъе	
ʒ́je	дзъе	
ǯje	джъе	
šje	шъе	
žje	жъе	
nje	нъе	
mje	мъе	
sje	съе	
zje	зъе
ćjо	чъё	
kjo	къё	
gjo	гъё	
rjo	ръё	
vjo	въё	
wjo	въё	
pjo	пъё	
bjo	бъё	
tjo	тъё	
djo	дъё	
ljo	лъё	
ʒ́jo	дзъё	
ǯjo	джъё	
šjo	шъё	
žjo	жъё	
njo	нъё	
mjo	мъё	
sjo	съё	
zjo	зъё	
d'	дь	# Soft consonants alone
ź	зь	
l'	ль	
ń	нь	
ś	сь	
t'	ть	
f	ф	# Hard consonants alone
b	б	
v	в	
w	в	
g	г	
d	д	
ǯ	дж	
ʒ́	дз	
ž	ж	
z	з	
j	й	
k	к	
l	л	
m	м	
n	н	
p	п	
r	р	
s	с	
t	т	
č	тш	
ć	ч	
š	ш	
h	х	
a	а	# Vowels alone
i	и	
o	о	
ø	ӧ	
ö	ӧ	
u	у	
y	ы	
e	э	
ɛ	е	
ɨ	ы	
ō	оо	# Long vowels need more work
ȫ	ӧӧ	
â	аа	
û	уу	•
ʿ		# this can be removed now, it seems
ичч	итч	# affricates
ӧчч	ӧдч	
